Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Philadelphia, PA metro area	Aug-13	$170K	-2.90%	3.00%	1,850	-1.00%	11.50%	2,274	-13.40%	-1.90%	10,057	-1.90%	-5.60%	59	4	-17	95.10%	0.00%	0.80%
Philadelphia, PA metro area	Sep-13	$156K	-8.20%	4.10%	1,581	-14.50%	21.20%	2,512	10.50%	8.40%	10,282	2.20%	-4.80%	63	4	-18	94.90%	-0.20%	1.20%
Philadelphia, PA metro area	Oct-13	$150K	-3.80%	0.00%	1,534	-3.00%	21.40%	2,394	-4.70%	9.50%	10,091	-1.90%	-4.50%	66	3	-7	94.40%	-0.50%	0.50%
Philadelphia, PA metro area	Nov-13	$152K	1.30%	1.30%	1,369	-10.80%	-4.30%	1,777	-25.80%	9.40%	9,647	-4.40%	-3.70%	68	2	-8	94.30%	-0.10%	0.70%
Philadelphia, PA metro area	Dec-13	$151K	-1.00%	-1.00%	1,512	10.40%	4.90%	1,257	-29.30%	3.50%	8,683	-10.00%	-3.70%	72	4	-6	94.30%	0.00%	0.40%
Philadelphia, PA metro area	Jan-14	$148K	-2.00%	8.10%	1,154	-23.70%	-3.70%	1,962	56.10%	-14.60%	8,583	-1.20%	-5.60%	71	-1	-15	93.90%	-0.40%	0.40%
Philadelphia, PA metro area	Feb-14	$144K	-2.50%	2.80%	980	-15.10%	-14.70%	1,969	0.40%	-16.10%	8,612	0.30%	-6.90%	85	14	-12	93.90%	-0.10%	0.40%
Philadelphia, PA metro area	Mar-14	$150K	4.30%	-3.30%	1,319	34.60%	-5.90%	3,016	53.20%	4.00%	9,189	6.70%	-3.30%	89	4	0	94.20%	0.40%	0.00%
Philadelphia, PA metro area	Apr-14	$150K	0.00%	2.70%	1,524	15.50%	-7.40%	3,491	15.70%	9.10%	9,642	4.90%	-4.00%	72	-17	5	94.60%	0.40%	-0.20%
Philadelphia, PA metro area	May-14	$165K	10.10%	-2.90%	1,829	20.00%	-8.00%	3,201	-8.30%	11.00%	9,977	3.50%	-2.50%	48	-24	-7	95.30%	0.70%	0.00%
Philadelphia, PA metro area	Jun-14	$175K	6.10%	-5.40%	2,070	13.20%	2.70%	2,871	-10.30%	16.40%	10,520	5.40%	3.10%	41	-7	-10	95.60%	0.40%	0.10%
Philadelphia, PA metro area	Jul-14	$170K	-2.90%	-2.90%	1,927	-6.90%	3.10%	2,676	-6.80%	1.90%	10,917	3.80%	6.50%	42	1	-13	95.30%	-0.30%	0.20%
Philadelphia, PA metro area	Aug-14	$172K	1.20%	1.20%	1,829	-5.10%	-1.10%	2,370	-11.40%	4.20%	10,787	-1.20%	7.30%	50	8	-9	95.30%	-0.10%	0.10%
Philadelphia, PA metro area	Sep-14	$150K	-12.80%	-3.80%	1,636	-10.60%	3.50%	2,727	15.10%	8.60%	10,984	1.80%	6.80%	60	10	-3	94.70%	-0.50%	-0.20%
Philadelphia, PA metro area	Oct-14	$150K	0.00%	0.00%	1,705	4.20%	11.10%	2,568	-5.80%	7.30%	10,835	-1.40%	7.40%	69	9	3	94.70%	0.00%	0.30%
Philadelphia, PA metro area	Nov-14	$152K	1.20%	-0.20%	1,447	-15.10%	5.70%	1,777	-30.80%	0.00%	10,273	-5.20%	6.50%	65	-4	-3	94.70%	0.00%	0.40%
Philadelphia, PA metro area	Dec-14	$150K	-1.20%	-0.30%	1,735	19.90%	14.70%	1,471	-17.20%	17.00%	9,271	-9.80%	6.80%	74	9	2	94.90%	0.20%	0.60%
Philadelphia, PA metro area	Jan-15	$145K	-3.30%	-1.70%	1,243	-28.40%	7.70%	2,099	42.70%	7.00%	9,228	-0.50%	7.50%	78	4	7	94.70%	-0.20%	0.80%
Philadelphia, PA metro area	Feb-15	$135K	-7.00%	-6.20%	1,241	-0.20%	26.60%	2,231	6.30%	13.30%	9,249	0.20%	7.40%	87	9	2	94.50%	-0.10%	0.70%
Philadelphia, PA metro area	Mar-15	$153K	13.00%	1.70%	1,554	25.20%	17.80%	3,079	38.00%	2.10%	9,715	5.00%	5.70%	89	2	0	94.60%	0.10%	0.40%
Philadelphia, PA metro area	Apr-15	$160K	4.90%	6.70%	1,782	14.70%	16.90%	3,528	14.60%	1.10%	10,312	6.10%	6.90%	72	-17	0	95.10%	0.50%	0.50%
Philadelphia, PA metro area	May-15	$169K	5.40%	2.20%	1,973	10.70%	7.90%	3,233	-8.40%	1.00%	10,575	2.60%	6.00%	49	-23	1	95.80%	0.70%	0.50%
Philadelphia, PA metro area	Jun-15	$189K	12.10%	8.00%	2,498	26.60%	20.70%	3,001	-7.20%	4.50%	10,590	0.10%	0.70%	45	-4	4	96.00%	0.20%	0.40%
Philadelphia, PA metro area	Jul-15	$180K	-4.80%	5.90%	2,297	-8.00%	19.20%	2,717	-9.50%	1.50%	10,492	-0.90%	-3.90%	50	5	8	95.90%	-0.10%	0.60%
Philadelphia, PA metro area	Aug-15	$173K	-4.10%	0.30%	1,982	-13.70%	8.40%	2,553	-6.00%	7.70%	10,288	-1.90%	-4.60%	56	6	6	95.90%	0.00%	0.60%
Philadelphia, PA metro area	Sep-15	$159K	-7.90%	6.00%	1,780	-10.20%	8.80%	2,599	1.80%	-4.70%	10,352	0.60%	-5.80%	62	6	2	95.40%	-0.50%	0.70%
Philadelphia, PA metro area	Oct-15	$164K	2.90%	9.00%	1,908	7.20%	11.90%	2,508	-3.50%	-2.30%	10,123	-2.20%	-6.60%	68	6	-1	95.10%	-0.40%	0.40%
Philadelphia, PA metro area	Nov-15	$150K	-8.30%	-1.20%	1,496	-21.60%	3.40%	2,152	-14.20%	21.10%	9,687	-4.30%	-5.70%	61	-7	-4	95.10%	0.00%	0.40%
Philadelphia, PA metro area	Dec-15	$160K	6.70%	6.70%	1,937	29.50%	11.60%	1,567	-27.20%	6.50%	8,703	-10.20%	-6.10%	64	3	-10	95.20%	0.20%	0.30%
Philadelphia, PA metro area	Jan-16	$152K	-4.80%	5.00%	1,480	-23.60%	19.10%	2,082	32.90%	-0.80%	8,597	-1.20%	-6.80%	75	11	-3	95.00%	-0.20%	0.40%
Philadelphia, PA metro area	Feb-16	$149K	-2.40%	10.20%	1,466	-0.90%	18.10%	2,547	22.30%	14.20%	8,744	1.70%	-5.50%	78	3	-9	94.80%	-0.20%	0.30%
Philadelphia, PA metro area	Mar-16	$160K	7.60%	4.90%	1,767	20.50%	13.70%	3,450	35.50%	12.00%	9,144	4.60%	-5.90%	76	-2	-13	95.40%	0.50%	0.80%
Philadelphia, PA metro area	Apr-16	$171K	6.90%	6.90%	2,006	13.50%	12.60%	3,240	-6.10%	-8.20%	9,171	0.30%	-11.10%	56	-20	-16	96.20%	0.80%	1.00%
Philadelphia, PA metro area	May-16	$190K	11.10%	12.70%	2,272	13.30%	15.20%	3,093	-4.50%	-4.30%	9,150	-0.20%	-13.50%	45	-11	-4	96.30%	0.20%	0.50%
Philadelphia, PA metro area	Jun-16	$195K	2.60%	3.20%	2,864	26.10%	14.70%	2,954	-4.50%	-1.60%	9,110	-0.40%	-14.00%	43	-2	-2	97.00%	0.70%	1.00%
Philadelphia, PA metro area	Jul-16	$185K	-5.10%	2.80%	2,291	-20.00%	-0.30%	2,480	-16.00%	-8.70%	9,031	-0.90%	-13.90%	42	-1	-8	96.60%	-0.50%	0.70%
Philadelphia, PA metro area	Aug-16	$181K	-2.20%	4.90%	2,371	3.50%	19.60%	2,540	2.40%	-0.50%	8,484	-6.10%	-17.50%	49	7	-7	96.60%	0.10%	0.70%
Philadelphia, PA metro area	Sep-16	$172K	-5.00%	8.20%	2,035	-14.20%	14.30%	2,645	4.10%	1.80%	8,633	1.80%	-16.60%	51	2	-11	96.40%	-0.20%	1.00%
Philadelphia, PA metro area	Oct-16	$169K	-1.70%	3.40%	1,879	-7.70%	-1.50%	2,508	-5.20%	0.00%	8,557	-0.90%	-15.50%	52	1	-16	96.20%	-0.30%	1.10%
Philadelphia, PA metro area	Nov-16	$171K	1.30%	14.20%	1,896	0.90%	26.70%	1,972	-21.40%	-8.40%	7,969	-6.90%	-17.70%	54	2	-7	95.80%	-0.40%	0.70%
Philadelphia, PA metro area	Dec-16	$176K	2.80%	10.00%	2,018	6.40%	4.20%	1,522	-22.80%	-2.90%	7,075	-11.20%	-18.70%	52	-2	-12	96.00%	0.30%	0.80%
Philadelphia, PA metro area	Jan-17	$172K	-2.30%	13.00%	1,505	-25.40%	1.70%	2,300	51.10%	10.50%	7,077	0.00%	-17.70%	63	11	-12	95.90%	-0.10%	0.90%
Philadelphia, PA metro area	Feb-17	$161K	-6.40%	8.30%	1,512	0.50%	3.10%	2,664	15.80%	4.60%	7,395	4.50%	-15.40%	62	-1	-16	95.60%	-0.30%	0.80%
Philadelphia, PA metro area	Mar-17	$175K	8.70%	9.40%	2,075	37.20%	17.40%	3,380	26.90%	-2.00%	7,636	3.30%	-16.50%	55	-7	-21	96.00%	0.40%	0.70%
Philadelphia, PA metro area	Apr-17	$190K	8.50%	11.10%	2,090	0.70%	4.20%	3,261	-3.50%	0.60%	7,966	4.30%	-13.10%	45	-10	-11	96.60%	0.60%	0.50%
Philadelphia, PA metro area	May-17	$200K	5.30%	5.20%	2,580	23.40%	13.60%	3,246	-0.50%	4.90%	7,942	-0.30%	-13.20%	36	-9	-9	97.20%	0.60%	0.90%
Philadelphia, PA metro area	Jun-17	$213K	6.60%	9.20%	3,006	16.50%	5.00%	3,068	-5.50%	3.90%	8,020	1.00%	-12.00%	35	-1	-8	97.20%	0.00%	0.20%
Philadelphia, PA metro area	Jul-17	$205K	-3.80%	10.80%	2,396	-20.30%	4.60%	2,651	-13.60%	6.90%	7,903	-1.50%	-12.50%	37	2	-5	97.40%	0.20%	0.80%
Philadelphia, PA metro area	Aug-17	$190K	-7.40%	4.90%	2,465	2.90%	4.00%	2,720	2.60%	7.10%	7,776	-1.60%	-8.30%	40	3	-9	96.90%	-0.50%	0.30%
Philadelphia, PA metro area	Sep-17	$185K	-2.60%	7.60%	2,077	-15.70%	2.10%	2,700	-0.70%	2.10%	8,063	3.70%	-6.60%	42	2	-9	96.80%	-0.10%	0.40%
Philadelphia, PA metro area	Oct-17	$187K	1.10%	10.70%	2,051	-1.30%	9.20%	2,557	-5.30%	2.00%	7,972	-1.10%	-6.80%	48	6	-4	96.60%	-0.20%	0.40%
Philadelphia, PA metro area	Nov-17	$185K	-1.10%	8.00%	2,080	1.40%	9.70%	2,010	-21.40%	1.90%	7,461	-6.40%	-6.40%	57	9	3	96.30%	-0.40%	0.50%
Philadelphia, PA metro area	Dec-17	$190K	2.60%	7.90%	2,080	0.00%	3.10%	1,411	-29.80%	-7.30%	6,469	-13.30%	-8.60%	59	2	7	96.30%	0.10%	0.30%
Philadelphia, PA metro area	Jan-18	$185K	-2.80%	7.30%	1,643	-21.00%	9.20%	2,086	47.80%	-9.30%	6,294	-2.70%	-11.10%	64	5	1	96.10%	-0.20%	0.20%
Philadelphia, PA metro area	Feb-18	$175K	-5.20%	8.70%	1,360	-17.20%	-10.10%	2,512	20.40%	-5.70%	6,669	6.00%	-9.80%	69	5	7	96.20%	0.10%	0.60%
Philadelphia, PA metro area	Mar-18	$198K	13.10%	13.10%	1,935	42.30%	-6.70%	2,942	17.10%	-13.00%	6,289	-5.70%	-17.60%	58	-11	3	96.60%	0.40%	0.60%
Philadelphia, PA metro area	Apr-18	$204K	3.10%	7.40%	2,207	14.10%	5.60%	3,360	14.20%	3.00%	6,346	0.90%	-20.30%	39	-19	-6	97.50%	0.80%	0.80%
Philadelphia, PA metro area	May-18	$210K	2.90%	5.10%	2,598	17.70%	0.70%	3,351	-0.30%	3.20%	6,479	2.10%	-18.40%	33	-6	-3	97.50%	0.00%	0.20%
Philadelphia, PA metro area	Jun-18	$215K	2.40%	0.90%	2,919	12.40%	-2.90%	3,023	-9.80%	-1.50%	6,410	-1.10%	-20.10%	30	-3	-5	97.80%	0.30%	0.60%
Philadelphia, PA metro area	Jul-18	$209K	-2.80%	1.90%	2,477	-15.10%	3.40%	2,720	-10.00%	2.60%	6,394	-0.20%	-19.10%	30	0	-7	97.60%	-0.20%	0.20%
Philadelphia, PA metro area	Aug-18	$209K	0.00%	10.10%	2,478	0.00%	0.50%	2,701	-0.70%	-0.70%	6,365	-0.50%	-18.10%	32	2	-8	97.50%	-0.10%	0.60%
Philadelphia, PA metro area	Sep-18	$200K	-4.40%	8.10%	1,923	-22.40%	-7.40%	2,641	-2.20%	-2.20%	6,549	2.90%	-18.80%	35	3	-7	97.20%	-0.30%	0.40%
Philadelphia, PA metro area	Oct-18	$196K	-2.10%	4.70%	2,053	6.80%	0.10%	2,759	4.50%	7.90%	6,613	1.00%	-17.00%	33	-2	-15	96.90%	-0.30%	0.30%
Philadelphia, PA metro area	Nov-18	$195K	-0.40%	5.40%	2,040	-0.60%	-1.90%	2,013	-27.00%	0.10%	6,243	-5.60%	-16.30%	36	3	-21	96.50%	-0.40%	0.30%
Philadelphia, PA metro area	Dec-18	$189K	-3.10%	-0.50%	1,861	-8.80%	-10.50%	1,377	-31.60%	-2.40%	5,553	-11.10%	-14.20%	38	2	-21	96.40%	-0.10%	0.10%
Philadelphia, PA metro area	Jan-19	$185K	-2.10%	0.20%	1,406	-24.40%	-14.40%	2,218	61.10%	6.30%	5,822	4.80%	-7.50%	48	10	-16	96.50%	0.10%	0.40%
Philadelphia, PA metro area	Feb-19	$185K	-0.10%	5.70%	1,360	-3.30%	0.00%	2,368	6.80%	-5.70%	6,064	4.20%	-9.10%	55	7	-14	96.00%	-0.50%	-0.20%
Philadelphia, PA metro area	Mar-19	$200K	8.10%	1.00%	1,800	32.40%	-7.00%	3,109	31.30%	5.70%	6,514	7.40%	3.60%	50	-5	-8	96.60%	0.50%	0.00%
Philadelphia, PA metro area	Apr-19	$210K	5.00%	2.90%	2,141	18.90%	-3.00%	3,385	8.90%	0.70%	6,819	4.70%	7.50%	42	-8	3	97.30%	0.80%	-0.10%
Philadelphia, PA metro area	May-19	$217K	3.30%	3.30%	2,580	20.50%	-0.70%	3,424	1.20%	2.20%	7,156	4.90%	10.40%	37	-5	4	97.30%	0.00%	-0.20%
Philadelphia, PA metro area	Jun-19	$235K	8.30%	9.30%	2,524	-2.20%	-13.50%	2,928	-14.50%	-3.10%	7,181	0.30%	12.00%	39	2	9	97.70%	0.40%	-0.10%
Philadelphia, PA metro area	Jul-19	$225K	-4.30%	7.70%	2,434	-3.60%	-1.70%	2,714	-7.30%	-0.20%	6,846	-4.70%	7.10%	39	0	9	97.40%	-0.30%	-0.20%
Philadelphia, PA metro area	Aug-19	$222K	-1.20%	6.30%	2,305	-5.30%	-7.00%	2,564	-5.50%	-5.10%	6,628	-3.20%	4.10%	40	1	8	97.00%	-0.40%	-0.50%
Philadelphia, PA metro area	Sep-19	$200K	-10.00%	0.10%	2,017	-12.50%	4.90%	2,870	11.90%	8.70%	6,942	4.70%	6.00%	38	-2	3	96.70%	-0.20%	-0.50%
Philadelphia, PA metro area	Oct-19	$200K	0.00%	2.20%	1,987	-1.50%	-3.20%	2,777	-3.20%	0.70%	7,012	1.00%	6.00%	39	1	6	96.90%	0.10%	0.00%
Philadelphia, PA metro area	Nov-19	$216K	8.00%	10.80%	1,884	-5.20%	-7.60%	2,035	-26.70%	1.10%	6,512	-7.10%	4.30%	42	3	6	96.70%	-0.20%	0.20%
Philadelphia, PA metro area	Dec-19	$210K	-2.80%	11.10%	2,097	11.30%	12.70%	1,367	-32.80%	-0.70%	5,521	-15.20%	-0.60%	43	1	5	96.20%	-0.50%	-0.20%
Philadelphia, PA metro area	Jan-20	$208K	-0.90%	12.40%	1,682	-19.80%	19.60%	2,259	65.30%	1.80%	5,509	-0.20%	-5.40%	54	11	6	96.40%	0.20%	-0.10%
Philadelphia, PA metro area	Feb-20	$215K	3.40%	16.30%	1,578	-6.20%	16.00%	2,572	13.90%	8.60%	5,782	5.00%	-4.70%	58	4	3	96.30%	-0.10%	0.30%
Philadelphia, PA metro area	Mar-20	$235K	9.30%	17.50%	1,810	14.70%	0.60%	2,499	-2.80%	-19.60%	5,758	-0.40%	-11.60%	46	-12	-4	97.00%	0.70%	0.40%
Philadelphia, PA metro area	Apr-20	$247K	4.90%	17.40%	1,490	-17.70%	-30.40%	1,007	-59.70%	-70.30%	5,344	-7.20%	-21.60%	39	-7	-3	97.80%	0.80%	0.40%
Philadelphia, PA metro area	May-20	$234K	-5.20%	7.70%	1,112	-25.40%	-56.90%	2,228	121.30%	-34.90%	5,850	9.50%	-18.30%	42	3	5	96.80%	-1.00%	-0.50%
Philadelphia, PA metro area	Jun-20	$250K	7.00%	6.40%	1,557	40.00%	-38.30%	3,122	40.10%	6.60%	6,126	4.70%	-14.70%	47	5	8	97.40%	0.60%	-0.30%
Philadelphia, PA metro area	Jul-20	$246K	-1.80%	9.10%	2,520	61.80%	3.50%	3,283	5.20%	21.00%	6,139	0.20%	-10.30%	40	-7	1	98.00%	0.60%	0.60%
Philadelphia, PA metro area	Aug-20	$245K	-0.20%	10.20%	2,541	0.80%	10.20%	3,144	-4.20%	22.60%	6,173	0.60%	-6.90%	35	-5	-5	98.40%	0.40%	1.40%
Philadelphia, PA metro area	Sep-20	$243K	-0.80%	21.50%	2,510	-1.20%	24.40%	3,174	1.00%	10.60%	6,352	2.90%	-8.50%	33	-2	-5	98.10%	-0.30%	1.30%
Philadelphia, PA metro area	Oct-20	$237K	-2.50%	18.50%	2,555	1.80%	28.60%	3,178	0.10%	14.40%	6,357	0.10%	-9.30%	35	2	-4	98.30%	0.20%	1.40%
Philadelphia, PA metro area	Nov-20	$245K	3.40%	13.40%	2,291	-10.30%	21.60%	2,336	-26.50%	14.80%	5,993	-5.70%	-8.00%	33	-2	-9	98.50%	0.20%	1.80%
Philadelphia, PA metro area	Dec-20	$240K	-2.00%	14.30%	2,396	4.60%	14.30%	1,682	-28.00%	23.00%	5,067	-15.50%	-8.20%	35	2	-8	98.10%	-0.40%	1.90%
Philadelphia, PA metro area	Jan-21	$235K	-2.10%	13.00%	1,874	-21.80%	11.40%	2,231	32.60%	-1.20%	4,918	-2.90%	-10.70%	40	5	-14	97.80%	-0.30%	1.40%
Philadelphia, PA metro area	Feb-21	$236K	0.50%	9.90%	1,736	-7.40%	10.00%	2,126	-4.70%	-17.30%	4,716	-4.10%	-18.40%	42	2	-16	97.70%	-0.20%	1.40%
Philadelphia, PA metro area	Mar-21	$258K	9.20%	9.80%	2,264	30.40%	25.10%	3,312	55.80%	32.50%	4,941	4.80%	-14.20%	39	-3	-7	98.50%	0.90%	1.60%
Philadelphia, PA metro area	Apr-21	$265K	2.70%	7.50%	2,512	11.00%	68.60%	3,617	9.20%	259.20%	5,304	7.30%	-0.70%	32	-7	-7	99.10%	0.60%	1.30%
Philadelphia, PA metro area	May-21	$267K	0.70%	14.20%	2,531	0.80%	127.60%	3,362	-7.10%	50.90%	5,449	2.70%	-6.90%	27	-5	-15	99.80%	0.70%	3.00%
Philadelphia, PA metro area	Jun-21	$280K	4.90%	12.00%	3,134	23.80%	101.30%	3,436	2.20%	10.10%	5,665	4.00%	-7.50%	25	-2	-22	100.00%	0.30%	2.70%
Philadelphia, PA metro area	Jul-21	$275K	-1.80%	12.00%	2,743	-12.50%	8.80%	3,244	-5.60%	-1.20%	6,160	8.70%	0.30%	26	1	-14	100.20%	0.20%	2.20%
Philadelphia, PA metro area	Aug-21	$270K	-1.80%	10.20%	2,562	-6.60%	0.80%	2,992	-7.80%	-4.80%	6,144	-0.30%	-0.50%	28	2	-7	99.70%	-0.50%	1.40%
Philadelphia, PA metro area	Sep-21	$260K	-3.70%	7.00%	2,413	-5.80%	-3.90%	3,071	2.60%	-3.20%	6,468	5.30%	1.80%	33	5	0	99.10%	-0.60%	1.00%
Philadelphia, PA metro area	Oct-21	$260K	0.00%	9.70%	2,295	-4.90%	-10.20%	2,929	-4.60%	-7.80%	6,380	-1.40%	0.40%	37	4	2	98.60%	-0.50%	0.30%
Philadelphia, PA metro area	Nov-21	$265K	1.90%	8.20%	2,385	3.90%	4.10%	2,362	-19.40%	1.10%	5,874	-7.90%	-2.00%	37	0	4	98.70%	0.20%	0.20%
Philadelphia, PA metro area	Dec-21	$256K	-3.40%	6.70%	2,509	5.20%	4.70%	1,666	-29.50%	-1.00%	4,923	-16.20%	-2.80%	40	3	5	98.60%	-0.10%	0.50%
Philadelphia, PA metro area	Jan-22	$250K	-2.30%	6.40%	2,056	-18.10%	9.70%	2,083	25.00%	-6.60%	4,604	-6.50%	-6.40%	45	5	5	98.20%	-0.50%	0.30%
Philadelphia, PA metro area	Feb-22	$250K	0.00%	5.80%	1,806	-12.20%	4.00%	2,538	21.80%	19.40%	4,680	1.70%	-0.80%	49	4	7	98.20%	0.00%	0.50%
Philadelphia, PA metro area	Mar-22	$265K	6.00%	2.70%	2,463	36.40%	8.80%	3,354	32.20%	1.30%	5,000	6.80%	1.20%	35	-14	-4	99.00%	0.80%	0.50%
Philadelphia, PA metro area	Apr-22	$275K	3.80%	3.80%	2,361	-4.10%	-6.00%	3,379	0.70%	-6.60%	5,491	9.80%	3.50%	29	-6	-3	99.70%	0.70%	0.60%
Philadelphia, PA metro area	May-22	$286K	4.00%	7.20%	2,535	7.40%	0.20%	3,177	-6.00%	-5.50%	5,744	4.60%	5.40%	26	-3	-1	100.30%	0.60%	0.50%
Philadelphia, PA metro area	Jun-22	$297K	3.80%	6.10%	2,756	8.70%	-12.10%	3,414	7.50%	-0.60%	6,309	9.80%	11.40%	27	1	2	100.20%	-0.10%	0.20%
Philadelphia, PA metro area	Jul-22	$280K	-5.70%	1.80%	2,200	-20.20%	-19.80%	2,755	-19.30%	-15.10%	6,526	3.40%	5.90%	30	3	4	99.70%	-0.50%	-0.50%
Philadelphia, PA metro area	Aug-22	$275K	-1.80%	1.90%	2,216	0.70%	-13.50%	2,549	-7.50%	-14.80%	6,448	-1.20%	4.90%	32	2	4	98.80%	-0.90%	-1.00%
Philadelphia, PA metro area	Sep-22	$259K	-5.80%	-0.40%	1,957	-11.70%	-18.90%	2,612	2.50%	-14.90%	6,608	2.50%	2.20%	40	8	7	97.90%	-0.90%	-1.30%
Philadelphia, PA metro area	Oct-22	$256K	-1.20%	-1.50%	1,744	-10.90%	-24.00%	2,364	-9.50%	-19.30%	6,590	-0.30%	3.30%	38	-2	1	97.70%	-0.10%	-0.80%
Philadelphia, PA metro area	Nov-22	$260K	1.60%	-1.90%	1,596	-8.50%	-33.10%	1,807	-23.60%	-23.50%	6,193	-6.00%	5.40%	39	1	2	97.50%	-0.30%	-1.30%
Philadelphia, PA metro area	Dec-22	$258K	-1.00%	0.60%	1,515	-5.10%	-39.60%	1,334	-26.20%	-19.90%	5,455	-11.90%	10.80%	46	7	6	97.10%	-0.40%	-1.50%
Philadelphia, PA metro area	Jan-23	$240K	-6.80%	-4.00%	1,267	-16.40%	-38.40%	1,873	40.40%	-10.10%	5,382	-1.30%	16.90%	53	7	8	96.20%	-0.80%	-1.90%
Philadelphia, PA metro area	Feb-23	$235K	-2.10%	-6.00%	1,287	1.60%	-28.70%	1,908	1.90%	-24.80%	5,362	-0.40%	14.60%	59	6	10	96.50%	0.30%	-1.60%
Philadelphia, PA metro area	Mar-23	$260K	10.60%	-1.90%	1,771	37.60%	-28.10%	2,648	38.80%	-21.00%	5,503	2.60%	10.10%	46	-13	11	97.40%	0.80%	-1.60%
Philadelphia, PA metro area	Apr-23	$263K	1.00%	-4.50%	1,725	-2.60%	-26.90%	2,545	-3.90%	-24.70%	5,704	3.70%	3.90%	41	-5	12	98.00%	0.60%	-1.80%
Philadelphia, PA metro area	May-23	$275K	4.80%	-3.80%	2,121	23.00%	-16.30%	2,530	-0.60%	-20.40%	5,657	-0.80%	-1.50%	36	-5	10	98.70%	0.70%	-1.70%
Philadelphia, PA metro area	Jun-23	$285K	3.60%	-4.00%	2,151	1.40%	-22.00%	2,419	-4.40%	-29.10%	5,555	-1.80%	-12.00%	35	-1	8	99.10%	0.40%	-1.20%
Philadelphia, PA metro area	Jul-23	$281K	-1.20%	0.50%	1,756	-18.40%	-20.20%	2,259	-6.60%	-18.00%	5,535	-0.40%	-15.20%	36	1	6	98.80%	-0.30%	-0.90%
Philadelphia, PA metro area	Aug-23	$275K	-2.30%	0.00%	1,864	6.20%	-15.90%	2,280	0.90%	-10.60%	5,526	-0.20%	-14.30%	39	3	7	98.70%	-0.10%	-0.10%
Philadelphia, PA metro area	Sep-23	$270K	-1.80%	4.20%	1,637	-12.20%	-16.40%	2,453	7.60%	-6.10%	5,951	7.70%	-9.90%	36	-3	-4	98.00%	-0.70%	0.10%
Philadelphia, PA metro area	Oct-23	$265K	-1.90%	3.50%	1,593	-2.70%	-8.70%	2,278	-7.10%	-3.60%	6,016	1.10%	-8.70%	37	1	-1	98.30%	0.30%	0.50%
Philadelphia, PA metro area	Nov-23	$235K	-11.30%	-9.60%	1,694	6.30%	6.10%	1,876	-17.60%	3.80%	5,815	-3.30%	-6.10%	41	4	2	96.90%	-1.40%	-0.60%
Philadelphia, PA metro area	Dec-23	$250K	6.40%	-2.90%	1,571	-7.30%	3.70%	1,313	-30.00%	-1.60%	5,137	-11.70%	-5.80%	45	4	-1	97.40%	0.50%	0.40%
Philadelphia, PA metro area	Jan-24	$260K	4.00%	8.30%	1,240	-21.10%	-2.10%	1,770	34.80%	-5.50%	5,051	-1.70%	-6.20%	52	7	-1	97.40%	-0.10%	1.10%
Philadelphia, PA metro area	Feb-24	$254K	-2.30%	8.10%	1,272	2.60%	-1.20%	2,172	22.70%	13.80%	5,245	3.80%	-2.20%	53	1	-6	97.10%	-0.20%	0.60%
Philadelphia, PA metro area	Mar-24	$270K	6.30%	3.80%	1,647	29.50%	-7.00%	2,454	13.00%	-7.30%	5,378	2.50%	-2.30%	43	-10	-3	98.10%	1.00%	0.70%
Philadelphia, PA metro area	Apr-24	$275K	1.90%	4.80%	1,835	11.40%	6.40%	2,737	11.50%	7.50%	5,680	5.60%	-0.40%	38	-5	-3	98.60%	0.50%	0.60%
Philadelphia, PA metro area	May-24	$280K	1.80%	1.80%	2,101	14.50%	-0.90%	2,696	-1.50%	6.60%	5,800	2.10%	2.50%	37	-1	1	99.20%	0.60%	0.50%
Philadelphia, PA metro area	Jun-24	$302K	7.90%	6.00%	1,911	-9.00%	-11.20%	2,380	-11.70%	-1.60%	5,893	1.60%	6.10%	36	-1	1	99.30%	0.10%	0.20%
Philadelphia, PA metro area	Jul-24	$300K	-0.70%	6.60%	1,955	2.30%	11.30%	2,295	-3.60%	1.60%	5,845	-0.80%	5.60%	35	-1	-1	99.10%	-0.20%	0.30%
Philadelphia, PA metro area	Aug-24	$297K	-1.00%	8.00%	1,841	-5.80%	-1.20%	2,236	-2.60%	-1.90%	5,850	0.10%	5.90%	41	6	2	98.40%	-0.60%	-0.20%
Philadelphia, PA metro area	Sep-24	$275K	-7.40%	1.90%	1,622	-11.90%	-0.90%	2,377	6.30%	-3.10%	6,111	4.50%	2.70%	42	1	6	97.90%	-0.50%	-0.10%
Philadelphia, PA metro area	Oct-24	$280K	1.80%	5.70%	1,795	10.70%	12.70%	2,389	0.50%	4.90%	6,152	0.70%	2.30%	42	0	5	97.70%	-0.20%	-0.60%
Philadelphia, PA metro area	Nov-24	$280K	0.00%	19.10%	1,542	-14.10%	-9.00%	1,912	-20.00%	1.90%	5,896	-4.20%	1.40%	42	0	1	97.60%	-0.10%	0.70%
